"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (5km) (copy)"
"04/27/2024 22:04:15:083 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","(mean) total-runners-in-group","(std) total-runners-in-group","(mean) avg-group-runners-finish-time","(std) avg-group-runners-finish-time","(mean) avg-group-runners-speed","(std) avg-group-runners-speed","(mean) total-socially-suspectible-runners-in-group","(std) total-socially-suspectible-runners-in-group","(mean) socially-suspectible-group-runners-avg-finish-time","(std) socially-suspectible-group-runners-avg-finish-time","(mean) socially-suspectible-group-runners-avg-speed","(std) socially-suspectible-group-runners-avg-speed","(mean) non-socially-suspectible-group-runners-avg-finish-time","(std) non-socially-suspectible-group-runners-avg-finish-time","(mean) non-socially-suspectible-group-runners-avg-speed","(std) non-socially-suspectible-group-runners-avg-speed","(mean) total-solo-runners","(std) total-solo-runners","(mean) avg-solo-runner-finish-time","(std) avg-solo-runner-finish-time","(mean) avg-solo-runner-speed","(std) avg-solo-runner-speed","(mean) total-solo-socially-suspectible-runners","(std) total-solo-socially-suspectible-runners","(mean) socially-suspectible-solo-runners-avg-finish-time","(std) socially-suspectible-solo-runners-avg-finish-time","(mean) socially-suspectible-solo-runners-avg-speed","(std) socially-suspectible-solo-runners-avg-speed","(mean) non-socially-suspectible-solo-runners-avg-finish-time","(std) non-socially-suspectible-solo-runners-avg-finish-time","(mean) non-social-suspectible-solo-runners-avg-speed","(std) non-social-suspectible-solo-runners-avg-speed"
"50","10","20","0","dry","4985","9","N/A","69.65","N/A","7.13","N/A","4","N/A","69.65","N/A","7.13","N/A","69.65","N/A","7.13","N/A","11","N/A","64.25","N/A","6.91","N/A","9","N/A","63.75","N/A","6.848888888888888","N/A","66.49","N/A","7.204999999999999","N/A"
"50","10","20","0","dry","4989","8","N/A","68.18","N/A","7.324999999999999","N/A","4","N/A","68.195","N/A","7.33","N/A","68.17500000000001","N/A","7.32","N/A","12","N/A","67.99000000000001","N/A","7.295","N/A","8","N/A","68.43","N/A","7.343095238095238","N/A","68.995","N/A","7.476666666666667","N/A"
"50","10","20","0","dry","5000","8","N/A","61.65","N/A","6.64","N/A","3","N/A","61.65","N/A","6.589999999999999","N/A","61.65","N/A","6.672","N/A","12","N/A","65.48","N/A","7.14","N/A","8","N/A","66.42","N/A","7.2749999999999995","N/A","63.61","N/A","6.8625","N/A"
"50","10","20","0","dry","5011","9","N/A","65.06","N/A","7.34","N/A","8","N/A","65.06","N/A","7.345000000000001","N/A","65.03","N/A","7.34","N/A","11","N/A","73.62","N/A","7.88","N/A","7","N/A","71.59","N/A","7.65","N/A","77.17","N/A","8.295","N/A"
"50","10","20","0","dry","5018","7","N/A","62.08","N/A","6.58","N/A","4","N/A","62.09","N/A","6.58","N/A","62.08","N/A","6.58","N/A","13","N/A","65.87","N/A","7.35","N/A","7","N/A","62.64","N/A","7.137142857142857","N/A","69.63","N/A","7.601666666666666","N/A"
"50","10","20","0","dry","5020","9","N/A","70.74","N/A","7.28","N/A","6","N/A","70.74","N/A","7.28","N/A","70.73","N/A","7.276666666666666","N/A","11","N/A","64.2","N/A","6.92","N/A","4","N/A","70.15","N/A","7.4725","N/A","60.8","N/A","6.59857142857143","N/A"
"50","10","20","0","dry","5024","6","N/A","59.18","N/A","6.09","N/A","2","N/A","59.18","N/A","6.09","N/A","59.18","N/A","6.09","N/A","14","N/A","62.56","N/A","6.66","N/A","9","N/A","64.56","N/A","6.826666666666668","N/A","58.97","N/A","6.346000000000001","N/A"
"50","10","20","0","dry","5026","6.5","N/A","69.875","N/A","7.3149999999999995","N/A","4","N/A","69.88","N/A","7.321250000000001","N/A","69.86500000000001","N/A","7.30625","N/A","13.5","N/A","66.905","N/A","7.225","N/A","8.5","N/A","65.73","N/A","7.087878787878788","N/A","67.985","N/A","7.357916666666666","N/A"
"50","10","20","0","dry","5033","9","N/A","66.34","N/A","7.39","N/A","4","N/A","66.35","N/A","7.39","N/A","66.33","N/A","7.3919999999999995","N/A","11","N/A","66.82","N/A","7.29","N/A","5","N/A","68.34","N/A","7.52","N/A","65.55","N/A","7.093333333333333","N/A"
"50","10","20","0","dry","5034","9","N/A","65.08","N/A","7.32","N/A","6","N/A","65.09","N/A","7.328333333333333","N/A","65.05","N/A","7.313333333333333","N/A","11","N/A","68.61","N/A","7.6","N/A","5","N/A","73.53","N/A","8.076","N/A","64.51","N/A","7.194999999999999","N/A"
"50","10","20","0","dry","5044","4","N/A","69.44","N/A","7.21","N/A","1","N/A","69.47","N/A","7.21","N/A","69.43","N/A","7.206666666666667","N/A","16","N/A","67.44","N/A","7.22","N/A","8","N/A","70.35","N/A","7.6225000000000005","N/A","64.53","N/A","6.822500000000001","N/A"
"50","10","20","0","dry","5059","6.5","N/A","60.980000000000004","N/A","6.609999999999999","N/A","4","N/A","60.985","N/A","6.611428571428571","N/A","60.975","N/A","6.609999999999999","N/A","13.5","N/A","65.2","N/A","7.025","N/A","6.5","N/A","62.55","N/A","6.86345238095238","N/A","67.73","N/A","7.180833333333335","N/A"
"50","10","20","0","dry","5069","5","N/A","64.82","N/A","7.3","N/A","2","N/A","64.82","N/A","7.304999999999999","N/A","64.82","N/A","7.3","N/A","15","N/A","66.25","N/A","7.34","N/A","6","N/A","67.78","N/A","7.398333333333332","N/A","65.23","N/A","7.2988888888888885","N/A"
"50","10","20","0","dry","5088","7","N/A","71.83","N/A","7.39","N/A","4","N/A","71.83","N/A","7.3950000000000005","N/A","71.83","N/A","7.389999999999999","N/A","13","N/A","69.51","N/A","7.47","N/A","8","N/A","68.79","N/A","7.402500000000001","N/A","70.67","N/A","7.569999999999999","N/A"
"50","10","20","0","dry","5112","6","N/A","62.81","N/A","7.15","N/A","1","N/A","62.82","N/A","7.15","N/A","62.81","N/A","7.15","N/A","14","N/A","66.8","N/A","7.37","N/A","6","N/A","68.73","N/A","7.548333333333334","N/A","65.36","N/A","7.2299999999999995","N/A"
"50","10","20","0","dry","5126","9","N/A","71.05","N/A","7.3","N/A","6","N/A","71.05","N/A","7.3","N/A","71.05","N/A","7.3","N/A","11","N/A","63.75","N/A","7.06","N/A","3","N/A","66.34","N/A","7.316666666666666","N/A","62.77","N/A","6.959999999999999","N/A"
"50","10","20","0","dry","5130","9","N/A","65.77","N/A","7.36","N/A","5","N/A","65.77","N/A","7.361999999999999","N/A","65.77","N/A","7.36","N/A","11","N/A","66.21","N/A","7.22","N/A","4","N/A","69","N/A","7.672499999999999","N/A","64.62","N/A","6.968571428571429","N/A"
